timestamp,cpu_percent,memory_mb,total_time_sec
1778014296.8196507,50.0,7107.55859375,6948.787982940674
1778014296.9199386,50.0,7107.55859375,6948.787982940674
1778014297.020192,50.0,7107.55859375,6948.787982940674
1778014297.120444,50.0,7107.55859375,6948.787982940674
1778014297.2207124,50.0,7107.55859375,6948.787982940674
1778014297.320981,50.0,7107.55859375,6948.787982940674
1778014297.4212534,50.0,7107.55859375,6948.787982940674
1778014297.5215392,50.0,7107.55859375,6948.787982940674
1778014297.621807,51.2,7107.55859375,6948.787982940674
1778014297.7220778,50.0,7107.55859375,6948.787982940674
1778014297.8223512,50.0,7107.55859375,6948.787982940674
1778014297.922673,50.0,7107.55859375,6948.787982940674
1778014298.0229406,50.0,7107.55859375,6948.787982940674
1778014298.1232085,50.0,7107.55859375,6948.787982940674
1778014298.2234774,50.0,7107.55859375,6948.787982940674
1778014298.3237665,50.0,7107.55859375,6948.787982940674
1778014298.4240904,50.0,7107.55859375,6948.787982940674
1778014298.5243466,50.0,7107.55859375,6948.787982940674
1778014298.6246939,50.0,7107.55859375,6948.787982940674
1778014298.724969,50.0,7107.55859375,6948.787982940674
1778014298.825255,50.0,7107.55859375,6948.787982940674
1778014298.9255567,50.0,7107.55859375,6948.787982940674
1778014299.0258868,50.0,7107.55859375,6948.787982940674
1778014299.1261423,50.0,7107.55859375,6948.787982940674
1778014299.2264063,50.0,7107.55859375,6948.787982940674
1778014299.3266892,50.0,7107.55859375,6948.787982940674
1778014299.4269636,50.0,7107.55859375,6948.787982940674
1778014299.5272365,50.0,7107.55859375,6948.787982940674
1778014299.6275249,50.0,7107.55859375,6948.787982940674
1778014299.7277946,50.0,7107.55859375,6948.787982940674
1778014299.8280573,50.0,7107.55859375,6948.787982940674
1778014299.9283848,50.0,7107.55859375,6948.787982940674
1778014300.0287216,51.2,7107.55859375,6948.787982940674
1778014300.1290631,50.0,7107.55859375,6948.787982940674
1778014300.2293782,50.0,7107.55859375,6948.787982940674
1778014300.3296964,50.0,7107.55859375,6948.787982940674
1778014300.429979,50.0,7107.55859375,6948.787982940674
1778014300.5302463,50.0,7107.55859375,6948.787982940674
1778014300.6305325,50.0,7107.55859375,6948.787982940674
1778014300.730805,50.0,7107.55859375,6948.787982940674
1778014300.831065,50.0,7107.55859375,6948.787982940674
1778014300.9313328,50.0,7107.55859375,6948.787982940674
1778014301.0316248,50.0,7107.55859375,6948.787982940674
1778014301.1319003,51.2,7107.55859375,6948.787982940674
1778014301.2321694,50.0,7107.55859375,6948.787982940674
1778014301.3324459,48.8,7107.55859375,6948.787982940674
1778014301.4327037,50.0,7107.55859375,6948.787982940674
1778014301.5329664,50.0,7107.55859375,6948.787982940674
1778014301.63328,50.0,7107.55859375,6948.787982940674
1778014301.7335703,50.0,7107.55859375,6948.787982940674
1778014301.8338287,50.0,7107.55859375,6948.787982940674
1778014301.9341168,50.0,7107.55859375,6948.787982940674
1778014302.0343468,50.0,7107.55859375,6948.787982940674
1778014302.1346335,50.0,7107.55859375,6948.787982940674
1778014302.2348928,50.0,7107.55859375,6948.787982940674
1778014302.3351512,50.0,7107.55859375,6948.787982940674
1778014302.435414,50.0,7107.55859375,6948.787982940674
1778014302.5357182,50.0,7107.55859375,6948.787982940674
1778014302.6359854,50.0,7107.55859375,6948.787982940674
1778014302.7362432,50.0,7107.55859375,6948.787982940674
1778014302.8365521,50.0,7107.55859375,6948.787982940674
1778014302.9368396,52.4,7107.55859375,6948.787982940674
1778014303.0370934,50.0,7107.55859375,6948.787982940674
